[2018-01-02 09:40:25,895][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:30,895][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:35,896][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:40,896][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:45,896][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:50,896][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:40:55,896][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:00,896][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:05,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:10,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:15,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:20,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:25,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:30,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:35,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:40,897][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:45,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:50,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:41:55,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:00,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:05,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:10,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:15,898][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:20,899][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:25,899][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:42:30,899][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
